price;region;address;bedrooms;bathrooms;location;latitude;longitude
999000;Ajax, ON;18 CRANLEY CRT, Ajax, Ontario;3;4;18, Cranley Court, Pickering Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3A4, Canada;43.8557939;-79.0435629
899000;Ajax, ON;100 CHRISTENA CRES, Ajax, Ontario;3;2;100, Christena Crescent, Pickering Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6B3, Canada;43.84923065363496;-79.05227099815751
850000;Ajax, ON;37 BEATTY RD, Ajax, Ontario;3;2;37, Beatty Road, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S5, Canada;43.85496404737818;-79.03163215828421
1289900;Ajax, ON;25 DEVERILL CRES, Ajax, Ontario;3;3;25, Deverill Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3A4, Canada;43.8602442;-79.0453699
1395000;Ajax, ON;48 LOUGHLIN HILL CRES, Ajax, Ontario;2;3;48, Loughlin Hill Crescent, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.87612164525939;-79.0004865366383
775000;Ajax, ON;124 CARPENDALE CRES, Ajax, Ontario;3;2;124, Carpendale Crescent, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.89535599441163;-79.00997805721006
999000;Ajax, ON;113 ELLIOTTGLEN DR, Ajax, Ontario;3;4;Elliottglen Drive, Salem Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0G7, Canada;43.8965134;-79.0271386
1190000;Ajax, ON;24 RAITHBY CRES, Ajax, Ontario;4;4;Raithby Crescent, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.8786296;-79.0077211
950000;Ajax, ON;38 CEDAR ST, Ajax, Ontario;4;2;38, Cedar Street, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S5, Canada;43.85248890553528;-79.03004613273099
729000;Ajax, ON;160 CLEMENTS RD E, Ajax, Ontario;3;3;160, Clements Road East, Southwood, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1M5, Canada;43.83302584623323;-79.00431379258515
1099000;Ajax, ON;22 COUGHLEN ST, Ajax, Ontario;3;3;22, Coughlen Street, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.872057352728646;-79.04336570855095
1799000;Ajax, ON;16 BRICE DR, Ajax, Ontario;4;5;16, Brice Drive, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0K4, Canada;43.88778710749606;-79.01354348678123
1099000;Ajax, ON;44 STRICKLAND DR, Ajax, Ontario;4;4;44, Strickland Drive, Riverside, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4N1, Canada;43.867372979003015;-79.06498449929124
999898;Ajax, ON;18 FITZGERALD DR, Ajax, Ontario;2;2;18, Fitzgerald Drive, Discovery Bay, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 4X1, Canada;43.82080208133109;-79.02720181335826
699000;Ajax, ON;16 THORNHARROLD ST, Ajax, Ontario;2;2;16, Thornharrold Street, Downtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 2G6, Canada;43.84450468181818;-79.02404197272728
1149000;Ajax, ON;42 ATHERTON AVE, Ajax, Ontario;3;3;42, Atherton Avenue, Meadow Ridge, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4T4, Canada;43.8859685;-79.0510465
990000;Ajax, ON;91 FEINT DR, Ajax, Ontario;3;4;Feint Drive, Nottingham, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 0B4, Canada;43.8933328;-79.0412022
949900;Ajax, ON;28 ELGIN ST, Ajax, Ontario;3;2;28, Elgin Street, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S5, Canada;43.853281;-79.0330008
989900;Ajax, ON;487 ROSSLAND RD E, Ajax, Ontario;3;3;487, Rossland Road East, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88380743654373;-79.00916010500552
998000;Ajax, ON;51 GURR CRES, Ajax, Ontario;3;4;51, Gurr Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.8741479;-79.0449185
1099000;Ajax, ON;36 TODHUNTER CRES, Ajax, Ontario;3;4;36, Todhunter Crescent, Salem Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4G8, Canada;43.888593;-79.02643
800000;Ajax, ON;20 WEEKES DR, Ajax, Ontario;3;2;20, Weekes Drive, Hermitage, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3T6, Canada;43.86853264766984;-79.059516870522
1799900;Ajax, ON;141 ELIZABETH ST, Ajax, Ontario;4;4;141, Elizabeth Street, Riverside, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4N1, Canada;43.8581356;-79.0679762
1388000;Ajax, ON;127 KEARNEY DR, Ajax, Ontario;4;4;127, Kearney Drive, Riverside, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2W7, Canada;43.8601173;-79.062507
949900;Ajax, ON;134 ATHERTON AVE, Ajax, Ontario;3;3;134, Atherton Avenue, Meadow Ridge, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4Z4, Canada;43.88333711721744;-79.05471813409744
699000;Ajax, ON;92 BURCHER RD, Ajax, Ontario;3;1;92, Burcher Road, Lake Vista, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1N4, Canada;43.84213269456658;-79.01155423267623
699000;Ajax, ON;31 WINDSOR AVE, Ajax, Ontario;3;1;31, Windsor Avenue, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1T6, Canada;43.8546555;-79.0257398
899000;Ajax, ON;58 BOOTH CRES, Ajax, Ontario;3;3;58, Booth Crescent, Applecroft, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 1K1, Canada;43.869327320079485;-79.02507744445948
849900;Ajax, ON;9 MILLINGTON CRES, Ajax, Ontario;3;4;9, Millington Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1P0, Canada;43.8605814;-79.0402375
999999;Ajax, ON;66 KNAPTON AVE, Ajax, Ontario;4;4;66, Knapton Avenue, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S5, Canada;43.852883766666665;-79.03314913333332
1200000;Ajax, ON;804 AUDLEY RD S, Ajax, Ontario;4;4;804, Audley Road South, Lakeside, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0E7, Canada;43.8397993;-78.9850123
799990;Ajax, ON;571 ROSSLAND RD E, Ajax, Ontario;3;3;571, Rossland Road East, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88471617870708;-79.00513419555766
1499900;Ajax, ON;8 SIVYER CRES, Ajax, Ontario;4;4;8, Sivyer Crescent, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88766852277619;-79.00711516319024
749000;Ajax, ON;128 WRIGHT CRES, Ajax, Ontario;3;3;128, Wright Crescent, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S2, Canada;43.85066866988671;-79.0363708184109
699900;Ajax, ON;#1211 -2 WESTNEY RD N, Ajax, Ontario;2;2;Westney Road North, Duffins Crossing, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4T4, Canada;43.893645;-79.0508182
1250000;Ajax, ON;76 RADFORD DR, Ajax, Ontario;3;4;76, Radford Drive, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1X5, Canada;43.8658604;-79.0448613
999000;Ajax, ON;36 ADMIRAL RD, Ajax, Ontario;3;2;36, Admiral Road, Memorial Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 5G1, Canada;43.852809556459896;-79.01533091269076
879900;Ajax, ON;26 ALDONSCHOOL CRT, Ajax, Ontario;3;4;26, Aldonschool Court, Lake Vista, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1N4, Canada;43.8406293754018;-79.01254494674166
989900;Ajax, ON;38 O'DELL CRT, Ajax, Ontario;3;2;O'Dell Court, Southwood, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7N6, Canada;43.8388452;-79.0095626
799900;Ajax, ON;479 ROSSLAND RD E, Ajax, Ontario;3;3;479, Rossland Road East, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88371666641026;-79.0095425616121
799998;Ajax, ON;68 WESTRAY CRES, Ajax, Ontario;3;3;68, Westray Crescent, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.89345611575104;-79.01422969762683
799900;Ajax, ON;86 THORP CRES, Ajax, Ontario;3;3;86, Thorp Crescent, Hermitage, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3T6, Canada;43.86918393631965;-79.0600474085213
799000;Ajax, ON;26 HEWITT CRES, Ajax, Ontario;3;2;26, Hewitt Crescent, Southwood, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7N6, Canada;43.83529317044109;-79.00148381734097
916121;Ajax, ON;175 DELANEY DR, Ajax, Ontario;3;2;175, Delaney Drive, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3N5, Canada;43.87058566363636;-79.04875205
1399990;Ajax, ON;8 SNOWLING DR, Ajax, Ontario;4;4;8, Snowling Drive, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.889995;-79.009093
999000;Ajax, ON;56 SNOWLING DR, Ajax, Ontario;3;3;56, Snowling Drive, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.8920997828134;-79.01140113406237
899900;Ajax, ON;21 TRAWLEY CRES, Ajax, Ontario;3;2;21, Trawley Crescent, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1T6, Canada;43.85834845910125;-79.02961378995951
1999999;Ajax, ON;50 WESTON CRES, Ajax, Ontario;5;5;50, Weston Crescent, Nottingham, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4Y4, Canada;43.88905576840439;-79.04184437397001
1199000;Ajax, ON;31 DEVINERIDGE AVE, Ajax, Ontario;3;3;Devineridge Avenue, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.8789725;-79.0018365
1300000;Ajax, ON;82 LINTON AVE, Ajax, Ontario;3;4;82, Linton Avenue, Riverside, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2W7, Canada;43.85915459875442;-79.0621132527691
1050000;Ajax, ON;18 BOWERS CRT, Ajax, Ontario;3;3;18, Bowers Court, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.8693111;-79.0442653
850000;Ajax, ON;74 KIPLING CRES, Ajax, Ontario;4;4;74, Kipling Crescent, Discovery Bay, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 4X1, Canada;43.826384452850256;-79.0319170289036
899999;Ajax, ON;162 BAYLY ST W, Ajax, Ontario;3;3;162, Bayly Street West, Downtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7K0, Canada;43.842973930066464;-79.02369223606566
769900;Ajax, ON;19 MAPLE ST, Ajax, Ontario;2;1;19, Maple Street, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1T6, Canada;43.85399001586855;-79.02896522897275
849000;Ajax, ON;40 RIDEOUT ST, Ajax, Ontario;3;2;40, Rideout Street, Memorial Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1P2, Canada;43.84815156315459;-79.01760315316527
1000000;Ajax, ON;160 LARGE CRES, Ajax, Ontario;3;4;160, Large Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 0G1, Canada;43.87393477403399;-79.04705202668212
1499000;Ajax, ON;59 ARFIELD AVE, Ajax, Ontario;4;4;59, Arfield Avenue, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.89230347058823;-79.01245888235293
1299900;Ajax, ON;31 WATERSPLACE AVE, Ajax, Ontario;4;4;31, Watersplace Avenue, Salem Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0G7, Canada;43.89841756470588;-79.02601118235295
999000;Ajax, ON;16 BROCKMAN CRES, Ajax, Ontario;3;3;16, Brockman Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.8685915;-79.043025
549000;Ajax, ON;#905 -44 FALBY CRT, Ajax, Ontario;2;2;Falby Court, Downtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 4S4, Canada;43.8401738;-79.017677
2249000;Ajax, ON;44 WILLIAMSON DR W, Ajax, Ontario;4;5;Williamson Drive West, Nottingham, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4Y4, Canada;43.8849304;-79.0465769
1199999;Ajax, ON;53 TAVERNER CRES, Ajax, Ontario;3;3;53, Taverner Crescent, Meadow Ridge, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4Y4, Canada;43.88254309719356;-79.04606643591899
788888;Ajax, ON;30 ABELA LANE, Ajax, Ontario;3;3;30, Abela Lane, Applecroft, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1P0, Canada;43.859927;-79.034925
899999;Ajax, ON;31 TRESHER CRT, Ajax, Ontario;3;3;31, Tresher Court, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.870941733294906;-79.04155427554733
1099000;Ajax, ON;82 REED DR, Ajax, Ontario;4;3;82, Reed Drive, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S2, Canada;43.851630289858456;-79.03454862456593
1149900;Ajax, ON;69 MANDRAKE ST, Ajax, Ontario;3;4;69, Mandrake Street, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 5G1, Canada;43.85791120014225;-79.0189376217666
999000;Ajax, ON;30 ALDONSCHOOL CRT, Ajax, Ontario;3;3;30, Aldonschool Court, Lake Vista, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1N4, Canada;43.840719;-79.01275
1000000;Ajax, ON;15 SHERWOOD RD W, Ajax, Ontario;3;2;15, Sherwood Road West, Pickering Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2Z8, Canada;43.8553013;-79.0584765
699000;Ajax, ON;20 CLOWES Street, Ajax, Ontario;2;3;20, Clowes Street, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88262472727273;-79.00752413636363
699000;Ajax, ON;20 CLOWES ST, Ajax, Ontario;2;3;20, Clowes Street, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88262472727273;-79.00752413636363
1099999;Ajax, ON;78 LARGE CRES, Ajax, Ontario;4;3;78, Large Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 0G1, Canada;43.8718126;-79.0492522
1549888;Ajax, ON;11 REDMOND DR, Ajax, Ontario;4;3;11, Redmond Drive, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6S5, Canada;43.85204791306282;-79.03600503233332
899777;Ajax, ON;63 DEVINERIDGE AVE, Ajax, Ontario;3;3;63, Devineridge Avenue, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88077042857143;-79.00246314285714
1099000;Ajax, ON;136 GOSS LANE, Ajax, Ontario;4;3;136, Goss Lane, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.88368790909091;-79.00554218181819
1699900;Ajax, ON;10 MCALPINE AVE, Ajax, Ontario;4;5;10, McAlpine Avenue, Nottingham, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 4Y4, Canada;43.884057010466734;-79.04245884740493
1149000;Ajax, ON;79 HURLEY RD, Ajax, Ontario;3;2;79, Hurley Road, Lake Vista, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1N4, Canada;43.84092062222222;-79.0101680111111
1099000;Ajax, ON;79 MARJORAM DR, Ajax, Ontario;4;3;79, Marjoram Drive, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7N6, Canada;43.84395485939494;-78.99868959490189
899900;Ajax, ON;144 CHATFIELD DR, Ajax, Ontario;3;3;144, Chatfield Drive, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1X5, Canada;43.8639672;-79.0396063
1299900;Ajax, ON;1127 CHURCH ST N, Ajax, Ontario;3;3;1127, Church Street North, Duffins Crossing, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3T6, Canada;43.87409453203889;-79.06407129471967
909888;Ajax, ON;88 VENTURA LANE, Ajax, Ontario;3;3;88, Ventura Lane, Applecroft, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3H5, Canada;43.86094778333334;-79.03434988333333
1800000;Ajax, ON;23 AINSBURY AVE, Ajax, Ontario;5;5;23, Ainsbury Avenue, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0M6, Canada;43.8764925;-79.0066443
699999;Ajax, ON;1 ONTARIO ST, Ajax, Ontario;3;1;1, Ontario Street, Midtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1T6, Canada;43.8567268;-79.0241288
1486000;Ajax, ON;1177 CHURCH ST N, Ajax, Ontario;4;4;1177, Church Street North, Duffins Crossing, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 3T6, Canada;43.874925333011;-79.06441866271153
1100000;Ajax, ON;56 MARSHALL CRES, Ajax, Ontario;3;3;56, Marshall Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 2M9, Canada;43.87455233506168;-79.04288824043863
3499000;Ajax, ON;2405 AUDLEY RD, Ajax, Ontario;4;2;2405, Audley Road North, Audley, Deer Creek, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.90995138242445;-79.01401101034324
769000;Clarington, ON;118 FERRIS SQ, Clarington, Ontario;3;4;Ferris Square, Courtice, Durham Region, Golden Horseshoe, Ontario, L1E 0E2, Canada;43.8921291;-78.7975333
999000;Clarington, ON;104 KINGSWOOD DR, Clarington, Ontario;4;4;104, Kingswood Drive, Clarington, Durham Region, Golden Horseshoe, Ontario, L1K 1B2, Canada;43.8998425;-78.8090832
799000;Clarington, ON;122 FIELDCREST AVE, Clarington, Ontario;3;4;122, Fieldcrest Avenue, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 3B9, Canada;43.904041;-78.780675
549900;Clarington, ON;#403 -84 ASPEN SPRINGS DR, Clarington, Ontario;2;2;Aspen Springs Drive, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 0C6, Canada;43.904609;-78.7047022
649000;Clarington, ON;35-37 ONTARIO ST, Clarington, Ontario;1;2;Ontario Street, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 1N6, Canada;43.9122267;-78.6838641
699900;Clarington, ON;25 SECOND ST, Clarington, Ontario;3;2;25, Second Street, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 3C8, Canada;43.9197992;-78.6922802
749900;Clarington, ON;57 MALLORY ST, Clarington, Ontario;2;3;Mallory Street, Courtice, Durham Region, Golden Horseshoe, Ontario, L1E 2G9, Canada;43.9214449;-78.7956069
799900;Clarington, ON;120 MCFEETERS CRES, Clarington, Ontario;3;2;120, McFeeters Crescent, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 5C6, Canada;43.9205325423365;-78.67053829985393
799000;Clarington, ON;68 RICHARD DAVIES CRES, Clarington, Ontario;4;4;68, Richard Davies Crescent, Gaud Corners, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 4J1, Canada;43.93542604058932;-78.71229582440817
1199900;Clarington, ON;91 JENNINGS DR, Clarington, Ontario;4;4;91, Jennings Drive, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 5B8, Canada;43.93573124158309;-78.69159224809532
699900;Clarington, ON;15 SOPER CRT, Clarington, Ontario;3;4;15, Soper Court, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 1C3, Canada;43.90591573434831;-78.67156411758981
679000;Clarington, ON;32 SANDRINGHAM DR, Clarington, Ontario;3;2;32, Sandringham Drive, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 1W8, Canada;43.9072721;-78.7947155
799900;Clarington, ON;130 GEORGE ST E, Clarington, Ontario;3;3;130, George Street East, Newcastle, Clarington, Durham Region, Golden Horseshoe, Ontario, L1B 1H5, Canada;43.9206258;-78.5871491
699900;Clarington, ON;300 SWINDELLS ST, Clarington, Ontario;3;3;300, Swindells Street, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 0E2, Canada;43.925330108174336;-78.68352014636152
799900;Clarington, ON;89 SIDNEY RUNDLE AVE, Clarington, Ontario;3;4;89, Sidney Rundle Avenue, Gaud Corners, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 4J1, Canada;43.93511068421053;-78.71165268421053
969900;Clarington, ON;104 JEROME WAY, Clarington, Ontario;3;3;Jerome Way, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 0L3, Canada;43.9383071;-78.7045323
599000;Clarington, ON;104 ELGIN ST, Clarington, Ontario;3;1;104, Elgin Street, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 3C8, Canada;43.9204082875;-78.691354325
988888;Clarington, ON;9 SAUNDERS AVE, Clarington, Ontario;4;3;9, Saunders Avenue, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 3C8, Canada;43.91984273333333;-78.6851734
1150000;Clarington, ON;35 WABBOKISH CRT, Clarington, Ontario;3;3;35, Wabbokish Court, Clarington, Durham Region, Golden Horseshoe, Ontario, L1K 1H2, Canada;43.915524092286574;-78.81402432572393
749900;Clarington, ON;102 KING WILLIAM WAY, Clarington, Ontario;3;3;King William Way, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 5A4, Canada;43.9045366;-78.7094452
999999;Clarington, ON;144 NELSON ST, Clarington, Ontario;4;3;144, Nelson Street, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 2T4, Canada;43.90481963487093;-78.68484357360653
774900;Clarington, ON;67 CALE AVE, Clarington, Ontario;3;3;67, Cale Avenue, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 3G7, Canada;43.893128949521;-78.79690621761547
1099000;Clarington, ON;51 PIPER CRES, Clarington, Ontario;3;4;51, Piper Crescent, Gaud Corners, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 3K2, Canada;43.930834689820806;-78.7037206870612
699900;Clarington, ON;31 NIDDERY ST, Clarington, Ontario;2;1;Niddery Street, Courtice, Durham Region, Golden Horseshoe, Ontario, L1E 2G9, Canada;43.9201554;-78.7991343
699900;Clarington, ON;69 BLUFFS RD, Clarington, Ontario;2;2;Bluffs Road, Newcastle, Clarington, Durham Region, Golden Horseshoe, Ontario, L1B 1A6, Canada;43.8998829;-78.6211349
799000;Clarington, ON;19 YORKVILLE DR, Clarington, Ontario;2;3;19, Yorkville Drive, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 3C2, Canada;43.9026466;-78.7860473
899900;Clarington, ON;27 CONNELL LANE, Clarington, Ontario;3;2;27, Connell Lane, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 0C6, Canada;43.90107781818182;-78.70961381818182
749900;Clarington, ON;227 SPRUCEWOOD CRES, Clarington, Ontario;3;4;Sprucewood Crescent, Bowmanville, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 5C6, Canada;43.9287684;-78.6759257
1080000;Clarington, ON;42 WHITEHAND DR, Clarington, Ontario;4;4;Whitehand Drive, Newcastle, Clarington, Durham Region, Golden Horseshoe, Ontario, L1B 1G9, Canada;43.9212716;-78.5997625
1149900;Clarington, ON;7 HENRY SMITH AVE, Clarington, Ontario;4;3;Henry Smith Avenue, Clarington, Durham Region, Golden Horseshoe, Ontario, L1C 4J1, Canada;43.9413325;-78.7127761
699999;Clarington, ON;101 YORKVILLE DR, Clarington, Ontario;3;4;101, Yorkville Drive, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 1W8, Canada;43.90218982770651;-78.79055067394475
699999;Clarington, ON;101 YORKVILLE Drive, Courtice, Ontario;3;4;101, Yorkville Drive, Clarington, Durham Region, Golden Horseshoe, Ontario, L1E 1W8, Canada;43.90218982770651;-78.79055067394475
